DATA SET,PLAYER FULL NAME,"OWN
TEAM","OPP
TEAM","VENUE
(R/H)",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
Regular Season,Cartier Martin,Atl,Dal,R,16.5,4,8,3,7,6,6,1,1,2,1,3,1,0,0,17
Regular Season,Pero Antic,Atl,Dal,R,7.5,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0
Regular Season,Shelvin Mack,Atl,Dal,R,4.2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2
Regular Season,Shawn Marion,Dal,Atl,H,30.4,6,9,0,1,0,2,0,8,8,1,2,2,2,1,12
Regular Season,Dirk Nowitzki,Dal,Atl,H,33,8,14,4,6,4,4,0,4,4,5,4,0,1,0,24
Regular Season,Samuel Dalembert,Dal,Atl,H,26.5,2,4,0,0,0,0,1,8,9,0,1,0,1,1,4
Regular Season,Monta Ellis,Dal,Atl,H,36.5,11,17,2,3,8,8,0,4,4,8,3,2,7,0,32
Regular Season,Jose Calderon,Dal,Atl,H,34.4,1,7,1,5,2,2,0,2,2,11,3,1,4,0,5
Regular Season,Vince Carter,Dal,Atl,H,25.2,9,16,2,5,1,2,0,4,4,2,3,1,2,0,21
Regular Season,DeJuan Blair,Dal,Atl,H,21.1,4,5,0,0,1,2,5,0,5,0,3,0,1,0,9
Regular Season,Wayne Ellington,Dal,Atl,H,13.4,2,4,1,3,1,2,1,2,3,0,1,1,0,0,6
Regular Season,Gal Mekel,Dal,Atl,H,8.5,0,0,0,0,2,2,0,2,2,3,1,0,2,0,2
Regular Season,Jae Crowder,Dal,Atl,H,9,1,1,1,1,0,0,0,1,1,1,1,0,0,0,3
Regular Season,Tayshaun Prince,Mem,San,R,19.5,4,11,1,2,0,0,0,2,2,1,1,0,0,0,9
Regular Season,Zach Randolph,Mem,San,R,25.4,1,6,0,0,0,0,2,5,7,1,1,0,1,1,2
Regular Season,Marc Gasol,Mem,San,R,34,7,15,0,0,0,0,1,8,9,2,1,1,2,0,14
Regular Season,Tony Allen,Mem,San,R,28.1,6,8,3,3,0,3,1,2,3,2,0,2,3,1,15
Regular Season,Mike Conley,Mem,San,R,27.1,7,17,0,3,0,0,0,2,2,7,5,2,3,0,14
Regular Season,Mike Miller,Mem,San,R,24.5,3,6,2,3,3,3,0,4,4,3,2,0,1,0,11
Regular Season,Jerryd Bayless,Mem,San,R,22,2,9,0,0,1,2,2,2,4,3,2,0,1,0,5
Regular Season,Ed Davis,Mem,San,R,7.5,0,2,0,0,0,0,1,2,3,0,0,0,0,0,0
Regular Season,Quincy Pondexter,Mem,San,R,21.5,4,9,2,4,3,3,2,0,2,3,0,1,1,1,13
Regular Season,Kosta Koufos,Mem,San,R,13.6,3,4,0,0,1,4,1,2,3,0,2,0,0,0,7
Regular Season,Nick Calathes,Mem,San,R,4.5,1,3,0,0,0,0,1,1,2,2,0,0,1,0,2
Regular Season,Jon Leuer,Mem,San,R,9.5,1,3,0,0,0,0,0,3,3,0,1,0,1,0,2
Regular Season,Kawhi Leonard,San,Mem,H,30.2,5,9,2,2,2,2,1,6,7,1,2,0,4,2,14
Regular Season,Tim Duncan,San,Mem,H,17.2,1,6,0,0,1,3,0,6,6,2,2,0,0,0,3
Regular Season,Tiago Splitter,San,Mem,H,28.3,5,8,0,0,1,2,2,6,8,2,2,0,0,0,11
Regular Season,Danny Green,San,Mem,H,22.4,3,7,1,3,0,0,0,1,1,1,0,0,4,2,7
Regular Season,Tony Parker,San,Mem,H,31.2,4,14,2,3,3,4,0,1,1,9,0,1,1,0,13
Regular Season,Manu Ginobili,San,Mem,H,24.1,6,9,0,1,0,0,0,4,4,5,2,2,1,0,12
Regular Season,Matt Bonner,San,Mem,H,16.3,3,4,2,3,0,0,0,2,2,0,2,0,1,0,8
Regular Season,Marco Belinelli,San,Mem,H,18.6,2,5,0,2,1,2,0,4,4,1,1,0,1,0,5
Regular Season,Patrick Mills,San,Mem,H,16.4,4,4,3,3,1,1,1,0,1,1,0,0,0,0,12
Regular Season,Jeff Ayres,San,Mem,H,11.2,1,1,0,0,0,0,0,2,2,2,4,0,2,1,2
Regular Season,Boris Diaw,San,Mem,H,20.2,6,9,1,3,1,2,0,4,4,1,2,0,0,1,14
Regular Season,Aron Baynes,San,Mem,H,1.6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Regular Season,Kevin Durant,Okc,Uta,R,39.1,9,24,2,8,22,24,0,6,6,1,1,3,5,0,42
Regular Season,Serge Ibaka,Okc,Uta,R,37.3,4,15,0,0,0,0,4,6,10,0,3,1,1,2,8
Regular Season,Kendrick Perkins,Okc,Uta,R,26.5,2,5,0,1,0,0,2,6,8,1,4,1,1,0,4
Regular Season,Thabo Sefolosha,Okc,Uta,R,31.3,6,11,2,5,0,0,0,4,4,1,2,2,1,0,14
Regular Season,Reggie Jackson,Okc,Uta,R,32.1,5,10,2,3,2,2,0,2,2,3,2,5,3,0,14
Regular Season,Nick Collison,Okc,Uta,R,12.6,2,4,0,0,2,2,1,3,4,0,5,1,1,1,6
Regular Season,Derek Fisher,Okc,Uta,R,16.5,1,3,0,1,2,2,0,3,3,2,1,1,0,0,4
Regular Season,Jeremy Lamb,Okc,Uta,R,17.3,2,6,0,1,0,0,1,2,3,0,2,1,0,0,4
Regular Season,Steven Adams,Okc,Uta,R,18.3,1,1,0,0,0,1,2,1,3,1,3,0,0,0,2
Regular Season,Perry Jones,Okc,Uta,R,7.1,1,2,0,0,1,2,0,2,2,0,1,0,1,1,3
Regular Season,Richard Jefferson,Uta,Okc,H,19.4,4,9,2,5,0,1,0,3,3,0,3,0,2,2,10
Regular Season,Derrick Favors,Uta,Okc,H,42.5,6,11,0,0,3,7,1,8,9,5,5,1,6,2,15
Regular Season,Enes Kanter,Uta,Okc,H,29,6,10,0,0,2,2,3,7,10,1,2,0,2,1,14
Regular Season,Gordon Hayward,Uta,Okc,H,27.4,4,13,2,6,2,4,1,3,4,5,4,3,4,0,12
Regular Season,John Lucas,Uta,Okc,H,36.3,2,7,2,5,2,2,0,1,1,5,2,0,1,0,8
Regular Season,Rudy Gobert,Uta,Okc,H,22.5,1,2,0,0,0,2,3,4,7,0,2,0,2,0,2
Regular Season,Alec Burks,Uta,Okc,H,31.3,8,16,0,3,8,9,1,5,6,6,3,0,3,0,24
Regular Season,Jamaal Tinsley,Uta,Okc,H,8.1,0,3,0,3,0,0,0,0,0,3,1,0,1,0,0
Regular Season,Mike Harris,Uta,Okc,H,21.5,5,8,0,0,3,3,1,3,4,0,6,2,1,0,13
Regular Season,Nicolas Batum,Por,Pho,R,36.4,3,9,1,5,0,0,2,11,13,4,2,1,4,1,7
Regular Season,LaMarcus Aldridge,Por,Pho,R,39.3,12,22,0,0,4,5,1,3,4,2,2,0,2,0,28
Regular Season,Robin Lopez,Por,Pho,R,33.3,1,4,0,0,1,4,1,1,2,2,3,2,1,2,3
Regular Season,Wesley Matthews,Por,Pho,R,33.1,3,9,1,4,2,2,2,5,7,4,1,0,1,0,9
Regular Season,Damian Lillard,Por,Pho,R,42.1,10,20,6,12,6,8,2,2,4,2,2,1,0,1,32
Regular Season,Joel Freeland,Por,Pho,R,12.1,1,3,0,0,1,2,3,1,4,1,2,0,1,0,3
Regular Season,Mo Williams,Por,Pho,R,21.5,1,9,0,4,0,0,0,2,2,3,2,1,3,1,2
Regular Season,Dorell Wright,Por,Pho,R,12.2,0,2,0,1,3,3,0,1,1,1,0,0,1,0,3
Regular Season,Thomas Robinson,Por,Pho,R,8.3,2,3,0,0,0,0,0,2,2,0,0,0,0,0,4
Regular Season,P.J. Tucker,Pho,Por,H,38.4,7,13,2,2,2,2,4,1,5,2,1,2,1,0,18
Regular Season,Channing Frye,Pho,Por,H,22.2,3,7,1,5,0,0,0,3,3,0,4,1,1,0,7
Regular Season,Miles Plumlee,Pho,Por,H,39.6,8,14,0,0,2,2,5,10,15,0,1,0,2,3,18
Regular Season,Goran Dragic,Pho,Por,H,41.1,12,21,1,4,1,1,0,6,6,9,4,1,3,0,26
Regular Season,Eric Bledsoe,Pho,Por,H,38.5,7,12,0,3,8,11,0,7,7,6,2,1,4,0,22
Regular Season,Marcus Morris,Pho,Por,H,25.4,3,9,0,4,0,0,0,7,7,1,2,3,3,1,6
Regular Season,Gerald Green,Pho,Por,H,16.6,2,3,0,1,1,2,0,1,1,0,0,0,0,0,5
Regular Season,Alex Len,Pho,Por,H,8,1,1,0,0,0,0,1,1,2,0,3,0,1,1,2
Regular Season,Archie Goodwin,Pho,Por,H,8.3,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
Regular Season,Anthony Randolph,Den,Sac,R,15.1,1,2,0,1,0,0,0,2,2,0,1,0,2,1,2
Regular Season,J.J. Hickson,Den,Sac,R,33,6,10,0,0,0,0,2,7,9,0,3,0,3,4,12
Regular Season,JaVale McGee,Den,Sac,R,10.1,2,5,0,0,0,0,1,0,1,0,4,0,1,2,4
Regular Season,Randy Foye,Den,Sac,R,32.4,4,8,2,5,2,3,0,5,5,1,2,1,3,0,12
Regular Season,Ty Lawson,Den,Sac,R,35.5,5,15,2,4,8,8,0,5,5,8,1,2,4,0,20
Regular Season,Timofey Mozgov,Den,Sac,R,19.3,4,6,0,0,2,2,0,2,2,0,2,0,1,3,10
Regular Season,Evan Fournier,Den,Sac,R,21.1,2,8,1,3,0,0,2,3,5,2,2,0,2,0,5
Regular Season,Kenneth Faried,Den,Sac,R,14.6,1,4,0,1,3,4,2,3,5,0,1,0,0,0,5
Regular Season,Andre Miller,Den,Sac,R,21.2,6,9,0,0,0,0,0,3,3,3,0,0,1,0,12
Regular Season,Darrell Arthur,Den,Sac,R,18.2,3,7,0,0,0,0,1,1,2,1,4,0,1,1,6
Regular Season,Nate Robinson,Den,Sac,R,17.5,0,5,0,1,0,0,0,2,2,4,1,0,0,0,0
Regular Season,John Salmons,Sac,Den,H,26.4,3,9,1,3,2,2,0,4,4,2,1,2,0,0,9
Regular Season,Patrick Patterson,Sac,Den,H,26.4,1,6,1,3,0,0,1,5,6,0,5,3,0,0,3
Regular Season,DeMarcus Cousins,Sac,Den,H,39.1,13,26,0,0,4,7,5,9,14,1,4,2,4,2,30
Regular Season,Marcus Thornton,Sac,Den,H,31,1,6,0,3,2,3,0,2,2,1,3,0,0,0,4
Regular Season,Greivis Vasquez,Sac,Den,H,36.2,6,9,1,2,4,5,0,2,2,4,2,0,2,0,17
Regular Season,Ben McLemore,Sac,Den,H,16.6,1,7,1,5,1,2,0,1,1,0,1,0,1,1,4
Regular Season,Jason Thompson,Sac,Den,H,16.3,1,5,0,0,0,0,1,2,3,0,5,0,2,2,2
Regular Season,Isaiah Thomas,Sac,Den,H,29.2,5,9,3,4,3,4,1,3,4,5,3,0,2,0,16
Regular Season,Travis Outlaw,Sac,Den,H,6.3,2,4,1,1,0,0,1,0,1,0,2,0,1,1,5
Regular Season,Chuck Hayes,Sac,Den,H,10.6,0,0,0,0,0,0,2,2,4,0,0,1,2,1,0
Regular Season,Nick Young,Lal,Gol,R,19.4,2,9,1,2,1,1,0,2,2,1,4,0,0,0,6
Regular Season,Shawne Williams,Lal,Gol,R,11.3,0,1,0,0,0,0,2,0,2,0,2,0,0,0,0
Regular Season,Pau Gasol,Lal,Gol,R,23,5,10,0,0,2,2,2,5,7,3,1,0,3,1,12
Regular Season,Jodie Meeks,Lal,Gol,R,22.2,4,8,1,3,5,6,1,2,3,0,0,0,2,0,14
Regular Season,Steve Blake,Lal,Gol,R,31.4,4,13,2,3,0,0,0,3,3,4,1,2,2,0,10
Regular Season,Chris Kaman,Lal,Gol,R,17.4,5,9,0,0,1,2,2,2,4,0,1,0,0,0,11
Regular Season,Wesley Johnson,Lal,Gol,R,24.6,4,11,3,6,0,0,0,3,3,3,5,2,1,2,11
Regular Season,Xavier Henry,Lal,Gol,R,35.3,4,11,0,1,6,9,0,4,4,1,5,0,4,0,14
Regular Season,Jordan Farmar,Lal,Gol,R,25.4,5,13,1,3,1,1,0,3,3,5,1,0,3,0,12
Regular Season,Jordan Hill,Lal,Gol,R,12.5,1,2,0,0,0,0,2,5,7,1,2,0,0,0,2
Regular Season,Robert Sacre,Lal,Gol,R,7.4,1,1,0,0,0,0,0,1,1,0,0,0,1,1,2
Regular Season,Elias Harris,Lal,Gol,R,7.4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Regular Season,Andre Iguodala,Gol,Lal,H,27.5,3,7,1,3,0,0,0,4,4,4,1,2,2,1,7
Regular Season,David Lee,Gol,Lal,H,26.3,8,13,0,0,8,9,3,5,8,5,3,0,4,1,24
Regular Season,Andrew Bogut,Gol,Lal,H,17.6,1,2,0,0,0,0,1,7,8,4,4,2,0,2,2
Regular Season,Klay Thompson,Gol,Lal,H,31,15,19,5,7,3,4,1,2,3,1,3,0,1,0,38
Regular Season,Stephen Curry,Gol,Lal,H,23.6,4,10,2,5,0,0,0,4,4,6,4,1,1,0,10
Regular Season,Jermaine O'Neal,Gol,Lal,H,19.5,2,5,0,0,3,4,0,1,1,1,1,1,1,2,7
Regular Season,Draymond Green,Gol,Lal,H,18.6,3,4,1,1,0,0,0,7,7,2,1,0,0,2,7
Regular Season,Marreese Speights,Gol,Lal,H,19.5,2,10,1,2,2,2,1,7,8,3,2,1,0,0,7
Regular Season,Toney Douglas,Gol,Lal,H,24.3,5,8,3,6,0,0,1,3,4,4,1,0,2,0,13
Regular Season,Kent Bazemore,Gol,Lal,H,12.1,2,5,2,2,1,2,0,1,1,4,0,1,1,0,7
Regular Season,Ognjen Kuzmic,Gol,Lal,H,9.5,1,2,0,0,1,2,0,0,0,0,2,0,3,1,3
Regular Season,Nemanja Nedovic,Gol,Lal,H,7.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Regular Season,Andrea Bargnani,Nyk,Chi,R,24.4,4,7,1,2,0,0,1,0,1,1,4,0,3,0,9
Regular Season,Carmelo Anthony,Nyk,Chi,R,42,8,24,2,7,4,5,0,6,6,6,0,6,4,2,22
Regular Season,Tyson Chandler,Nyk,Chi,R,36,3,8,0,0,1,2,8,11,19,2,2,1,2,4,7
Regular Season,Iman Shumpert,Nyk,Chi,R,25.2,2,6,1,2,2,2,2,1,3,1,4,2,1,0,7
Regular Season,Raymond Felton,Nyk,Chi,R,36.5,5,14,1,3,2,3,1,3,4,6,0,0,2,1,13
Regular Season,Metta World Peace,Nyk,Chi,R,22.5,3,11,2,4,0,0,1,1,2,1,2,2,0,1,8
Regular Season,Amar'e Stoudemire,Nyk,Chi,R,10.4,2,3,0,0,1,2,0,1,1,1,4,1,3,0,5
Regular Season,Tim Hardaway,Nyk,Chi,R,26.5,4,13,2,6,0,0,0,3,3,0,4,0,0,0,10
Regular Season,Pablo Prigioni,Nyk,Chi,R,11.2,0,0,0,0,0,0,0,3,3,2,4,0,0,0,0
Regular Season,Kenyon Martin,Nyk,Chi,R,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regular Season,Luol Deng,Chi,Nyk,H,39.5,8,15,1,4,0,0,1,2,3,6,1,0,0,0,17
Regular Season,Carlos Boozer,Chi,Nyk,H,32.4,5,7,0,0,4,4,1,6,7,3,2,1,3,0,14
Regular Season,Joakim Noah,Chi,Nyk,H,35.6,2,7,0,0,2,2,4,11,15,5,4,1,1,1,6
Regular Season,Jimmy Butler,Chi,Nyk,H,41.3,3,11,0,4,5,6,3,7,10,1,0,2,1,1,11
Regular Season,Derrick Rose,Chi,Nyk,H,33.4,7,23,2,5,2,2,3,3,6,3,2,0,4,0,18
Regular Season,Taj Gibson,Chi,Nyk,H,20.5,3,5,0,0,1,2,1,3,4,0,2,0,2,1,7
Regular Season,Kirk Hinrich,Chi,Nyk,H,16.3,3,6,0,1,3,3,0,1,1,1,3,1,5,0,9
Regular Season,Mike Dunleavy,Chi,Nyk,H,14.4,0,2,0,2,0,0,0,2,2,1,2,0,0,0,0
Regular Season,Nazr Mohammed,Chi,Nyk,H,4.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Regular Season,Andre Iguodala,Gol,Lac,R,42.5,5,8,1,3,3,6,1,3,4,11,1,2,3,0,14
Regular Season,David Lee,Gol,Lac,R,28.5,8,15,0,0,6,8,2,3,5,2,6,1,1,0,22
Regular Season,Andrew Bogut,Gol,Lac,R,28.1,6,7,0,0,5,7,2,4,6,0,5,0,1,1,17
Regular Season,Klay Thompson,Gol,Lac,R,38.1,3,7,1,2,3,3,0,1,1,1,4,2,2,0,10
Regular Season,Stephen Curry,Gol,Lac,R,38.3,14,23,9,14,1,1,0,3,3,9,3,0,11,0,38
Regular Season,Jermaine O'Neal,Gol,Lac,R,15.5,1,6,0,0,2,2,2,1,3,0,3,0,1,1,4
Regular Season,Draymond Green,Gol,Lac,R,21.3,1,3,1,1,1,4,2,6,8,1,5,2,2,0,4
Regular Season,Toney Douglas,Gol,Lac,R,9.6,0,2,0,1,0,0,0,1,1,1,4,0,1,0,0
Regular Season,Marreese Speights,Gol,Lac,R,11.4,2,5,0,0,2,2,1,1,2,0,3,0,1,0,6
Regular Season,Kent Bazemore,Gol,Lac,R,2.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Regular Season,Nemanja Nedovic,Gol,Lac,R,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regular Season,Ognjen Kuzmic,Gol,Lac,R,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Regular Season,Jared Dudley,Lac,Gol,H,32.6,4,6,2,4,0,0,1,0,1,2,5,2,2,0,10
Regular Season,Blake Griffin,Lac,Gol,H,34.1,9,12,0,1,5,8,0,10,10,2,6,2,3,1,23
Regular Season,DeAndre Jordan,Lac,Gol,H,41.1,3,9,0,0,3,12,10,7,17,1,2,2,0,1,9
Regular Season,J.J. Redick,Lac,Gol,H,28.1,5,11,3,7,4,4,1,4,5,2,4,0,0,0,17
Regular Season,Chris Paul,Lac,Gol,H,37.3,12,20,2,6,16,17,1,1,2,15,4,6,6,0,42
Regular Season,Jamal Crawford,Lac,Gol,H,23.2,7,14,2,5,1,2,0,1,1,1,1,1,4,0,17
Regular Season,Matt Barnes,Lac,Gol,H,17.6,0,4,0,1,4,4,1,2,3,2,3,0,1,0,4
Regular Season,Ryan Hollins,Lac,Gol,H,4.2,2,2,0,0,0,0,0,1,1,0,1,1,0,1,4
Regular Season,Darren Collison,Lac,Gol,H,11.1,0,3,0,0,0,1,1,1,2,1,1,0,1,0,0
Regular Season,Byron Mullens,Lac,Gol,H,8.6,0,4,0,4,0,2,1,1,2,1,3,1,1,1,0
Regular Season,Reggie Bullock,Lac,Gol,H,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regular Season,Earl Clark,Cle,Cha,R,16.6,0,4,0,0,0,0,0,3,3,0,0,1,1,0,0
Regular Season,Tristan Thompson,Cle,Cha,R,34.4,6,11,0,0,9,10,4,7,11,0,5,1,4,1,21
Regular Season,Anderson Varejao,Cle,Cha,R,29.3,0,4,0,1,2,2,3,4,7,2,4,0,2,0,2
Regular Season,Dion Waiters,Cle,Cha,R,14.2,1,5,0,1,0,0,0,0,0,0,2,0,2,0,2
Regular Season,Kyrie Irving,Cle,Cha,R,30.5,7,17,0,3,2,5,2,2,4,7,3,0,3,0,16
Regular Season,Jarrett Jack,Cle,Cha,R,27.4,7,13,1,3,0,0,0,3,3,3,0,0,3,0,15
Regular Season,Alonzo Gee,Cle,Cha,R,24.4,0,2,0,1,1,2,0,3,3,1,4,2,1,0,1
Regular Season,Andrew Bynum,Cle,Cha,R,10.5,2,7,0,0,1,2,1,2,3,0,1,0,0,0,5
Regular Season,C.J. Miles,Cle,Cha,R,29.3,9,16,3,7,1,1,0,5,5,1,3,3,1,0,22
Regular Season,Anthony Bennett,Cle,Cha,R,12.3,0,3,0,2,0,0,0,1,1,0,4,1,0,0,0
Regular Season,Tyler Zeller,Cle,Cha,R,8.4,0,2,0,0,0,0,1,1,2,0,3,1,0,0,0
Regular Season,Michael Kidd-Gilchrist,Cha,Cle,H,37.1,6,12,0,0,3,4,2,4,6,0,3,1,0,1,15
Regular Season,Josh McRoberts,Cha,Cle,H,29.1,0,3,0,1,0,0,2,2,4,8,5,2,2,1,0
Regular Season,Bismack Biyombo,Cha,Cle,H,36.5,5,6,0,0,1,2,1,9,10,0,3,0,1,2,11
Regular Season,Gerald Henderson,Cha,Cle,H,28.1,2,10,0,0,6,8,0,3,3,1,3,1,3,0,10
Regular Season,Kemba Walker,Cha,Cle,H,37.3,8,14,3,6,4,8,0,4,4,7,2,3,4,2,23
Regular Season,Cody Zeller,Cha,Cle,H,18.5,4,9,0,0,1,2,0,5,5,0,2,0,0,0,9
Regular Season,Jeff Taylor,Cha,Cle,H,21.4,3,8,0,4,2,4,0,1,1,1,0,0,2,0,8
Regular Season,Ramon Sessions,Cha,Cle,H,19.4,4,10,0,1,1,3,0,1,1,4,1,0,3,0,9
Regular Season,Jeff Adrien,Cha,Cle,H,11.1,1,1,0,0,3,3,0,3,3,0,1,0,0,2,5
Regular Season,Al-Farouq Aminu,Nor,Orl,R,17.2,2,4,0,0,0,0,1,2,3,3,1,0,2,0,4
Regular Season,Anthony Davis,Nor,Orl,R,38.2,9,23,0,0,8,8,8,9,17,1,4,1,0,3,26
Regular Season,Jason Smith,Nor,Orl,R,26.1,3,12,0,0,0,0,3,3,6,0,3,1,0,1,6
Regular Season,Eric Gordon,Nor,Orl,R,28.2,4,11,1,2,3,6,1,1,2,2,2,1,0,0,12
Regular Season,Jrue Holiday,Nor,Orl,R,34.1,7,19,1,2,2,2,0,0,0,5,4,3,4,0,17
Regular Season,Tyreke Evans,Nor,Orl,R,17.2,0,7,0,2,0,0,0,1,1,3,3,0,2,0,0
Regular Season,Greg Stiemsma,Nor,Orl,R,16.5,0,2,0,0,1,2,1,5,6,0,2,0,1,0,1
Regular Season,Anthony Morrow,Nor,Orl,R,18.2,4,5,4,4,2,2,1,3,4,0,1,1,0,1,14
Regular Season,Brian Roberts,Nor,Orl,R,15.5,2,4,0,1,0,0,0,1,1,1,0,0,2,0,4
Regular Season,Arinze Onuaku,Nor,Orl,R,9.5,0,1,0,0,1,2,1,1,2,0,0,0,0,0,1
Regular Season,Austin Rivers,Nor,Orl,R,12.4,1,4,0,1,1,2,1,1,2,1,1,0,0,0,3
Regular Season,Jeff Withey,Nor,Orl,R,4.5,0,0,0,0,2,2,0,0,0,0,0,0,1,0,2
