DATA SET,PLAYER FULL NAME,"OWN
TEAM","OPP
TEAM","VENUE
(R/H)",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
Regular Season,Steve Blake,Lal,Lac,H,22.3,2,3,2,2,0,0,1,1,2,1,1,1,0,0,6
Regular Season,Steve Nash,Lal,Lac,H,20.4,1,3,1,1,0,0,0,1,1,5,3,0,3,0,3
Regular Season,Chris Kaman,Lal,Lac,H,19.4,5,10,0,0,0,0,4,4,8,0,1,1,1,2,10
Regular Season,Jodie Meeks,Lal,Lac,H,25.4,4,8,3,6,2,2,0,3,3,2,2,1,2,0,13
Regular Season,Jordan Farmar,Lal,Lac,H,27.2,6,10,2,3,2,4,2,2,4,6,5,1,3,0,16
Regular Season,Xavier Henry,Lal,Lac,H,26.2,8,13,3,4,3,8,2,4,6,2,1,1,1,0,22
Regular Season,Wesley Johnson,Lal,Lac,H,20.3,1,11,1,4,0,0,0,3,3,1,4,0,0,1,3
Regular Season,Jordan Hill,Lal,Lac,H,18,6,8,0,0,0,0,7,1,8,2,2,1,1,1,12
Regular Season,Paul Pierce,Bro,Cle,R,29.5,5,8,3,4,4,4,0,4,4,2,2,0,1,0,17
Regular Season,Kevin Garnett,Bro,Cle,R,26.2,4,8,0,0,0,0,2,8,10,3,4,2,2,1,8
Regular Season,Brook Lopez,Bro,Cle,R,33.4,9,18,0,0,3,5,2,3,5,1,3,0,1,4,21
Regular Season,Joe Johnson,Bro,Cle,R,34.2,3,10,0,3,7,8,0,0,0,5,1,1,1,0,13
Regular Season,Deron Williams,Bro,Cle,R,21.4,2,6,1,2,2,2,0,3,3,9,3,0,4,1,7
Regular Season,Andray Blatche,Bro,Cle,R,20.2,0,5,0,0,0,0,0,3,3,0,2,1,3,1,0
Regular Season,Reggie Evans,Bro,Cle,R,15.5,1,5,0,0,2,3,4,4,8,0,3,0,1,1,4
Regular Season,Alan Anderson,Bro,Cle,R,23.3,4,11,1,6,0,0,0,3,3,0,3,1,1,0,9
Regular Season,Shaun Livingston,Bro,Cle,R,15.3,0,1,0,0,1,2,1,0,1,3,3,2,0,0,1
Regular Season,Jason Terry,Bro,Cle,R,19,5,10,4,9,0,0,0,0,0,1,3,1,1,0,14
Regular Season,Earl Clark,Cle,Bro,H,27.1,4,10,0,1,1,2,3,5,8,1,2,0,1,0,9
Regular Season,Tristan Thompson,Cle,Bro,H,34.5,8,13,0,0,2,4,3,6,9,0,2,0,1,0,18
Regular Season,Anderson Varejao,Cle,Bro,H,34.4,5,9,0,0,1,4,3,5,8,3,3,0,0,1,11
Regular Season,Dion Waiters,Cle,Bro,H,29.2,5,12,1,3,0,0,1,0,1,2,2,3,2,0,11
Regular Season,Kyrie Irving,Cle,Bro,H,30.6,4,16,0,2,7,9,0,7,7,9,4,2,2,0,15
Regular Season,Jarrett Jack,Cle,Bro,H,22.3,3,6,1,1,5,6,0,3,3,3,1,1,1,0,12
Regular Season,Alonzo Gee,Cle,Bro,H,18.5,1,2,1,1,4,4,3,1,4,1,2,1,0,0,7
Regular Season,Anthony Bennett,Cle,Bro,H,14.6,0,5,0,3,2,4,1,4,5,0,1,0,0,0,2
Regular Season,Andrew Bynum,Cle,Bro,H,7.3,1,5,0,0,1,1,2,1,3,2,1,0,1,2,3
Regular Season,C.J. Miles,Cle,Bro,H,15.2,4,6,2,4,0,0,0,0,0,0,1,0,2,0,10
Regular Season,Tyler Zeller,Cle,Bro,H,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Regular Season,LeBron James,Mia,Phi,R,36.4,9,17,4,7,3,4,0,4,4,13,3,0,4,0,25
Regular Season,Udonis Haslem,Mia,Phi,R,11.3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2
Regular Season,Chris Bosh,Mia,Phi,R,34.2,8,13,2,3,4,4,3,7,10,1,4,1,4,0,22
Regular Season,Roger Mason,Mia,Phi,R,14.4,1,3,1,2,0,0,0,0,0,2,1,0,2,0,3
Regular Season,Mario Chalmers,Mia,Phi,R,30.4,6,13,4,6,0,0,2,3,5,4,4,3,2,0,16
Regular Season,Shane Battier,Mia,Phi,R,23.4,1,8,0,7,0,0,1,1,2,0,4,0,0,0,2
Regular Season,Norris Cole,Mia,Phi,R,26.6,5,8,0,2,0,0,0,3,3,3,4,0,2,0,10
Regular Season,Ray Allen,Mia,Phi,R,27.5,7,13,4,9,1,1,1,5,6,1,0,2,0,0,19
Regular Season,Chris Andersen,Mia,Phi,R,13.5,0,1,0,0,0,0,0,0,0,1,3,0,3,0,0
Regular Season,Rashard Lewis,Mia,Phi,R,20.1,4,8,1,4,2,3,0,1,1,5,2,1,1,0,11
Regular Season,Evan Turner,Phi,Mia,H,37.1,10,19,0,4,6,6,0,4,4,5,3,1,3,0,26
Regular Season,Thaddeus Young,Phi,Mia,H,34.2,5,15,0,1,0,0,4,2,6,2,2,2,5,0,10
Regular Season,Spencer Hawes,Phi,Mia,H,29.2,10,14,1,2,3,4,3,6,9,2,4,0,2,0,24
Regular Season,James Anderson,Phi,Mia,H,35.2,3,8,2,5,0,0,0,6,6,1,3,2,3,0,8
Regular Season,Michael Carter-Williams,Phi,Mia,H,36.1,6,10,4,6,6,8,0,7,7,12,1,9,1,0,22
Regular Season,Tony Wroten,Phi,Mia,H,23.2,6,9,1,3,1,2,1,3,4,2,1,1,2,0,14
Regular Season,Lavoy Allen,Phi,Mia,H,17.3,1,3,0,0,2,2,0,3,3,0,2,0,0,0,4
Regular Season,Daniel Orton,Phi,Mia,H,14.5,1,1,0,0,2,2,0,1,1,0,4,1,1,1,4
Regular Season,Darius Morris,Phi,Mia,H,11.5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2
Regular Season,Gerald Wallace,Bos,Tor,R,39.5,1,1,0,0,1,4,0,3,3,2,2,4,5,0,3
Regular Season,Brandon Bass,Bos,Tor,R,32.1,6,7,0,0,5,5,1,1,2,2,2,2,1,0,17
Regular Season,Vitor Faverani,Bos,Tor,R,26.4,4,9,0,1,5,8,1,2,3,0,5,0,3,3,13
Regular Season,Jeff Green,Bos,Tor,R,37,8,16,2,3,7,9,0,5,5,2,4,1,1,1,25
Regular Season,Avery Bradley,Bos,Tor,R,31.2,4,13,0,3,0,0,1,4,5,4,6,2,4,1,8
Regular Season,Jordan Crawford,Bos,Tor,R,17.4,3,5,1,1,0,0,2,1,3,5,2,0,1,0,7
Regular Season,Kelly Olynyk,Bos,Tor,R,16.2,2,5,0,2,0,0,0,0,0,0,2,0,3,0,4
Regular Season,Kris Humphries,Bos,Tor,R,20.5,3,4,0,0,2,3,2,7,9,0,2,0,2,2,8
Regular Season,Courtney Lee,Bos,Tor,R,14.3,1,4,0,2,0,0,0,2,2,0,0,1,2,0,2
Regular Season,Phil Pressey,Bos,Tor,R,3.4,0,2,0,1,0,0,0,1,1,0,2,0,0,0,0
Regular Season,Rudy Gay,Tor,Bos,H,34.1,8,18,1,2,2,3,2,6,8,1,3,2,5,0,19
Regular Season,Amir Johnson,Tor,Bos,H,24.2,6,8,1,3,0,0,2,1,3,2,4,0,0,1,13
Regular Season,Jonas Valanciunas,Tor,Bos,H,31.2,4,9,0,0,0,0,5,6,11,0,4,1,3,2,8
Regular Season,DeMar DeRozan,Tor,Bos,H,40.2,6,19,1,3,0,2,0,2,2,2,3,2,5,0,13
Regular Season,Kyle Lowry,Tor,Bos,H,34.5,2,8,0,3,7,12,2,1,3,8,2,2,2,0,11
Regular Season,Tyler Hansbrough,Tor,Bos,H,24.4,3,4,0,0,1,2,5,7,12,0,1,0,0,3,7
Regular Season,Landry Fields,Tor,Bos,H,18.1,4,7,0,0,0,1,3,3,6,0,4,0,0,0,8
Regular Season,Steve Novak,Tor,Bos,H,6.4,1,3,1,2,0,0,0,1,1,0,1,0,0,0,3
Regular Season,D.J. Augustin,Tor,Bos,H,13.2,2,7,0,3,1,1,0,0,0,2,1,0,1,0,5
Regular Season,Terrence Ross,Tor,Bos,H,12.1,2,3,1,1,1,2,0,2,2,0,2,2,1,0,6
Regular Season,Trevor Ariza,Was,Det,R,37.4,8,14,6,11,6,8,1,9,10,3,4,1,2,0,28
Regular Season,Trevor Booker,Was,Det,R,20.2,1,3,0,0,0,0,4,1,5,3,3,0,1,0,2
Regular Season,Nene Hilario,Was,Det,R,30.2,4,6,0,0,4,7,1,2,3,1,4,1,0,1,12
Regular Season,Bradley Beal,Was,Det,R,38.2,6,18,2,6,3,3,1,3,4,2,3,0,3,0,17
Regular Season,John Wall,Was,Det,R,38.6,8,21,0,4,4,6,2,0,2,11,3,3,4,0,20
Regular Season,Marcin Gortat,Was,Det,R,16.5,3,6,0,0,3,4,4,5,9,0,5,0,3,1,9
Regular Season,Al Harrington,Was,Det,R,18.2,1,4,0,1,2,2,0,0,0,1,4,0,2,0,4
Regular Season,Eric Maynor,Was,Det,R,9,1,3,1,1,0,0,0,2,2,1,0,0,0,0,3
Regular Season,Martell Webster,Was,Det,R,20.6,1,1,1,1,2,2,0,2,2,0,2,0,0,0,5
Regular Season,Garrett Temple,Was,Det,R,5,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
Regular Season,Kevin Seraphin,Was,Det,R,4.2,1,1,0,0,0,0,0,1,1,0,1,0,1,0,2
Regular Season,Josh Smith,Det,Was,H,39.4,8,12,3,7,0,0,1,4,5,5,5,0,4,1,19
Regular Season,Greg Monroe,Det,Was,H,41.3,6,15,0,0,12,15,5,11,16,3,3,1,5,1,24
Regular Season,Andre Drummond,Det,Was,H,26.2,6,7,0,0,0,0,3,5,8,1,5,0,1,0,12
Regular Season,Chauncey Billups,Det,Was,H,30.4,4,8,4,5,4,4,1,2,3,5,3,1,1,0,16
Regular Season,Will Bynum,Det,Was,H,38.1,7,13,1,2,4,6,0,1,1,5,4,2,4,1,19
Regular Season,Kentavious Caldwell-Pope,Det,Was,H,27,4,12,0,3,1,2,0,1,1,2,4,2,2,0,9
Regular Season,Kyle Singler,Det,Was,H,27.2,2,6,1,5,3,3,2,6,8,1,2,0,0,0,8
Regular Season,Jonas Jerebko,Det,Was,H,8.3,2,5,0,2,2,3,0,1,1,2,1,0,1,1,6
Regular Season,Peyton Siva,Det,Was,H,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
